org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status,contributers,top,major,minor
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/acl/tests/init.pp,1,1,1,4,6,173,129,0,0,0,407,121,1,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildbot_bridge/manifests/conf.pp,0,1,1,0,6,6,1,0,1,1,19,0,0,3,0.4,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildmaster/manifests/settings.pp,1,0,0,0,2,0,3,0,0,0,21,3,1,5,0.2,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/buildslave/manifests/install.pp,1,0,1,0,2,5,4,0,0,0,36,3,0,7,0.4074074074074074,4,3
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/clean/manifests/appstate.pp,1,1,3,3,7,21,10,0,3,3,44,3,0,4,0.3333333333333333,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/collectd/manifests/plugins/aggregation.pp,2,0,0,0,2,1,2,0,0,0,31,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/collectd/manifests/plugins/cpu.pp,2,0,0,0,2,1,2,0,0,0,23,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/collectd/manifests/plugins/df.pp,2,0,0,0,2,1,3,0,0,0,28,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/collectd/manifests/plugins/statsd.pp,2,0,0,0,2,1,2,0,0,0,33,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/concat/manifests/fragment.pp,0,1,0,1,2,10,2,0,1,1,69,27,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/dirs/manifests/builds.pp,1,2,0,2,2,3,1,0,1,1,20,3,0,2,0.75,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/dirs/manifests/etc/mozilla_maintenance_service.pp,1,1,0,1,2,1,0,0,0,0,12,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/dirs/manifests/programdata.pp,1,1,0,1,1,1,0,0,0,0,16,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/dirs/manifests/usr/local.pp,1,1,0,1,1,2,1,0,1,1,10,3,1,4,0.25,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/disableservices/manifests/disable_win_defend.pp,1,0,0,0,0,2,2,0,0,0,14,6,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/disableservices/manifests/winreport.pp,1,0,0,0,0,1,1,0,0,0,13,4,0,4,0.4,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/firewall/manifests/linux/archlinux.pp,0,2,0,4,6,10,1,0,0,0,41,15,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/funsize_scheduler/manifests/conf.pp,0,1,2,0,6,12,3,0,2,2,23,0,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/fw/manifests/windows_exceptions.pp,2,0,0,22,22,154,116,0,0,0,209,3,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/hardware/manifests/ec2_config.pp,1,1,0,0,0,1,0,0,0,0,16,3,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/httpd/manifests/config.pp,1,2,1,1,5,9,2,0,1,1,37,3,0,5,0.4444444444444444,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/jacuzzi_metadata/manifests/disable.pp,0,1,0,4,4,5,0,0,0,0,19,0,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/kernelmodule/manifests/init.pp,1,0,1,1,6,15,4,3,0,0,51,4,1,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/mercurial/manifests/ext/common.pp,1,1,0,1,3,7,2,0,1,1,22,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/mercurial/manifests/settings.pp,1,0,0,0,0,0,6,0,0,0,21,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/metcollect/manifests/settings.pp,1,0,0,0,1,2,1,0,0,0,19,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/mockbuild/manifests/services.pp,1,0,0,0,3,2,1,1,0,0,14,3,0,5,0.2,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/motd/manifests/settings.pp,1,0,0,0,1,2,2,0,0,0,11,3,0,3,0.6,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/nrpe/manifests/base.pp,1,1,4,2,11,20,10,0,0,0,52,3,0,6,0.4,6,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/nrpe/manifests/check/puppet_freshness.pp,1,0,0,0,1,4,2,1,0,0,23,3,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/nxlog/manifests/svc.pp,1,0,1,1,4,4,1,0,0,0,23,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/dnsmasq.pp,1,0,0,1,1,1,0,0,0,0,18,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/gstreamer.pp,1,0,0,1,1,1,0,0,0,0,20,3,0,5,0.3333333333333333,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/llvm.pp,1,0,0,1,1,1,0,0,0,0,16,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/logrotate.pp,1,0,0,1,1,1,0,0,0,0,16,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/mozilla/dumbwin32proc.pp,1,1,1,0,1,2,2,0,0,0,13,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/mozilla/hiera_eyaml.pp,1,0,0,1,1,1,1,0,0,0,18,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/mozilla/python26.pp,1,0,0,1,1,2,3,0,0,0,29,3,0,4,0.6666666666666666,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/mozilla/signmar.pp,1,0,0,1,1,2,2,0,0,0,33,3,0,2,0.75,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/mysql_devel.pp,1,0,0,1,1,1,0,0,0,0,17,3,1,4,0.4,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/nvidia_drivers.pp,1,2,3,3,7,27,21,1,1,1,99,3,1,7,0.3,7,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/p7zip.pp,1,0,0,1,1,2,1,0,0,0,29,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/packagemaker.pp,2,0,0,0,0,3,1,0,0,0,33,3,0,3,0.6666666666666666,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/patch.pp,2,0,0,1,1,1,0,0,0,0,22,3,0,6,0.16666666666666666,6,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/win7sdk.pp,2,1,2,2,4,15,5,1,0,0,38,5,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/xcode.pp,1,0,0,0,0,18,11,0,0,0,136,3,0,7,0.5384615384615384,7,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/packages/manifests/yasm.pp,1,1,1,1,3,4,3,0,0,0,31,3,0,4,0.5,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/puppet/manifests/config.pp,1,0,0,0,2,4,2,0,1,1,23,3,0,5,0.6363636363636364,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/puppetmaster/manifests/extsync_crontask.pp,1,2,0,1,2,4,1,0,1,1,28,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/puppetmaster/manifests/init.pp,1,0,0,0,13,0,0,0,0,0,19,3,1,3,0.75,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/puppetmaster/manifests/manifests.pp,1,2,5,0,8,28,13,3,3,3,65,3,1,3,0.7777777777777778,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/python/manifests/misc_python_dir.pp,1,1,0,1,3,1,0,0,0,0,16,6,0,2,0.75,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/python/manifests/virtualenv/package.pp,2,0,1,0,5,12,2,0,0,0,60,6,1,5,0.5833333333333334,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/python35/manifests/misc_python_dir.pp,1,1,0,1,3,1,0,0,0,0,16,6,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/runner/manifests/tasks/buildbot.pp,1,0,2,0,4,6,6,0,0,0,43,4,0,5,0.4,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/runner/manifests/tasks/config_mockbuild.pp,1,1,1,1,3,6,1,0,0,0,22,4,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/runner/manifests/tasks/post_flight.pp,1,0,0,0,1,1,1,0,0,0,13,4,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/runner/manifests/tasks/update_shared_repos.pp,1,0,0,0,1,1,0,0,0,0,12,4,1,2,0.6,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/shared/manifests/init.pp,1,0,0,0,0,3,3,0,0,0,12,3,0,2,0.75,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/signing_scriptworker/manifests/init.pp,0,1,4,0,13,25,5,0,4,4,74,0,1,11,0.7480314960629921,3,8
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/signingworker/manifests/init.pp,0,1,5,0,14,25,4,0,2,2,75,0,1,4,0.7826086956521741,2,2
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/signingworker/manifests/services.pp,0,0,1,0,4,7,1,2,0,0,23,0,0,4,0.5,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/slave_secrets/manifests/adjust_sdk_token.pp,1,3,0,4,7,18,9,0,2,2,57,3,0,3,0.3333333333333333,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/slave_secrets/manifests/crash_stats_api_token.pp,1,3,0,1,4,16,9,0,1,1,51,3,1,3,0.4,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/slave_secrets/manifests/release_s3_credentials.pp,1,10,0,5,8,40,23,0,5,5,123,3,1,5,0.2,5,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/slave_secrets/manifests/relengapi_token.pp,1,2,0,1,3,6,5,0,1,1,26,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/smarthost/manifests/daemon.pp,1,0,1,2,3,7,1,0,0,0,29,3,0,3,0.6,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/smarthost/manifests/init.pp,1,0,0,0,0,0,0,0,0,0,23,3,1,4,0.5,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/ssh/manifests/extra_authorized_key.pp,1,0,0,0,1,5,1,0,0,0,19,3,1,2,0.75,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/sudoers/manifests/reboot.pp,1,0,0,0,4,3,1,1,0,0,16,3,1,6,0.4615384615384616,6,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/toplevel/manifests/server/slaveapi.pp,1,0,0,0,1,3,4,0,0,0,24,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/toplevel/manifests/server/tps_ci.pp,1,0,0,0,1,0,0,0,0,0,7,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/toplevel/manifests/slave/qa.pp,1,0,0,0,2,5,4,0,0,0,27,4,1,4,0.4545454545454545,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/toplevel/manifests/slave/releng/build/mock/av.pp,1,0,0,0,3,0,0,0,0,0,9,3,0,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/disable_desktop_interruption.pp,1,3,3,0,4,9,11,1,0,0,51,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/i82574l_aspm.pp,1,0,0,0,1,2,1,1,0,0,26,5,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/tcp_challenge_ack_limit.pp,2,0,0,0,0,1,2,0,0,0,27,9,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/windows_activation.pp,1,0,1,0,1,2,2,1,0,0,10,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/tweaks/manifests/windows_network_opt_registry.pp,1,0,0,0,0,107,46,0,0,0,211,3,1,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/people.pp,1,1,0,0,3,1,0,0,0,0,25,3,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/signer/account.pp,2,1,1,1,3,38,26,1,1,1,121,3,1,4,0.6666666666666666,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/users/manifests/syncbld.pp,1,1,2,1,4,14,8,0,2,2,47,5,0,2,0.5,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/vmwaretools/manifests/params.pp,0,0,0,0,0,3,4,0,0,0,53,18,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/web_proxy/manifests/gui.pp,1,1,0,1,2,8,3,1,1,1,26,3,0,3,0.5,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/windows_firewall/manifests/exception.pp,0,0,0,2,3,20,24,1,0,0,130,46,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/puppet/modules/windowsutils/manifests/startup_tasks.pp,1,0,0,0,1,8,2,2,0,0,23,3,1,2,0.6666666666666666,2,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/acl/tests/hiera.pp,0,2,0,2,2,20,14,0,0,0,65,10,0,1,1.0,1,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/aws_manager/manifests/settings.pp,1,0,0,0,1,2,0,0,0,0,19,3,0,4,0.4,4,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/bmm/manifests/httpd.pp,1,1,0,4,5,15,3,0,0,0,43,3,0,3,0.7272727272727273,3,0
MOZILLA,/Users/akond/PUPP_REPOS/mozilla-releng-downloads/relabs-puppet/modules/bors/manifests/status.pp,1,1,0,1,1,20,9,0,5,5,33,3,1,2,0.6666666666666666,2,0
